42589.766654527964,3,[r2+= r1, Mul r0 -> r0, r2+= r0]
52837.766654527964,3,[r0+= r1, Mul r0 -> r0, r2+= r0]
42589.766654527964,3,[r2+= r2, Mul r0 -> r0, r2+= r0]
60243.83772233983,3,[r0+= r2, Mul r0 -> r0, r2+= r0]
42589.766654527964,3,[Sub r0 -> r2, Mul r0 -> r0, r2+= r0]
277.4788986754014,3,[Sub r0 -> r0, Mul r0 -> r0, r2+= r0]
42589.766654527964,3,[Sub r1 -> r2, Mul r0 -> r0, r2+= r0]
52353.766654527964,3,[Sub r1 -> r0, Mul r0 -> r0, r2+= r0]
42589.766654527964,3,[Sub r2 -> r2, Mul r0 -> r0, r2+= r0]
59959.83772233983,3,[Sub r2 -> r0, Mul r0 -> r0, r2+= r0]
42589.766654527964,3,[Mul r0 -> r2, Mul r0 -> r0, r2+= r0]
59996.83772233983,3,[Mul r0 -> r0, Mul r0 -> r0, r2+= r0]
42589.766654527964,3,[Mul r1 -> r2, Mul r0 -> r0, r2+= r0]
52687.766654527964,3,[Mul r1 -> r0, Mul r0 -> r0, r2+= r0]
42589.766654527964,3,[Mul r2 -> r2, Mul r0 -> r0, r2+= r0]
60194.83772233983,3,[Mul r2 -> r0, Mul r0 -> r0, r2+= r0]
42589.766654527964,3,[Sin r2, Mul r0 -> r0, r2+= r0]
272.7275456108658,3,[Sin r0, Mul r0 -> r0, r2+= r0]
272.7275456108658,3,[Sin r0, Mul r0 -> r0, r2+= r0]
42589.766654527964,3,[Cos r2, Mul r0 -> r0, r2+= r0]
273.2302517399371,3,[Cos r0, Mul r0 -> r0, r2+= r0]
21786.5211013246,2,[Mul r1 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r0, Mul r1 -> r2, r2+= r0]
24050.5211013246,3,[r0+= r0, Mul r1 -> r2, r2+= r0]
21786.5211013246,3,[r1+= r0, Mul r1 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r1, Mul r1 -> r2, r2+= r0]
22000.5211013246,3,[r0+= r1, Mul r1 -> r2, r2+= r0]
21786.5211013246,3,[r1+= r1, Mul r1 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r2, Mul r1 -> r2, r2+= r0]
23010.5211013246,3,[r0+= r2, Mul r1 -> r2, r2+= r0]
21786.5211013246,3,[r1+= r2, Mul r1 -> r2, r2+= r0]
